OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SENTINEL-3A,2016-011A,2026-06-30T19:43:20.684352,14.26736354,.0001429,98.6245,249.0093,95.2641,264.8703,0,U,41335,999,54000,.68296E-4,.122E-5,0
ZIYUAN 3-02 (ZY 3-02),2016-033A,2026-06-30T20:54:43.288704,15.21307518,.0012739,97.3836,257.3823,237.6582,122.3421,0,U,41556,999,56006,.24316E-3,.5383E-4,0
CARTOSAT-2C,2016-040A,2026-06-30T21:24:32.732064,15.19294903,.0010469,97.4481,241.6812,90.0530,270.1904,0,U,41599,999,55579,.1491E-3,.3082E-4,0
SKYSAT-C1,2016-040C,2026-06-29T23:33:46.919520,15.36513930,.000214,96.9554,212.0090,31.0993,329.0379,0,U,41601,999,55983,.27073127E-3,.9575E-4,0
LAPAN-A3,2016-040E,2026-06-30T19:58:14.782656,15.33191552,.0009181,97.1489,177.5301,336.8781,23.2048,0,U,41603,999,55690,.10536E-3,.3307E-4,0
GAOFEN-3,2016-049A,2026-06-30T21:21:53.004384,14.42216430,.000165,98.4006,189.4689,95.1551,264.9827,0,U,41727,999,52062,-.43623E-4,-.187E-5,0
SKYSAT-C4,2016-058B,2026-06-30T12:17:59.040960,15.48999706,.00024547,96.9164,202.7293,138.5332,221.6106,0,U,41771,999,54753,.29561656E-3,.15921E-3,0
SKYSAT-C5,2016-058C,2026-06-30T01:55:41.235168,15.34650353,.00015978,97.0461,221.1459,201.4188,158.6990,0,U,41772,999,54572,.24184255E-3,.8047E-4,0
SKYSAT-C2,2016-058D,2026-06-30T11:53:58.901568,15.42367359,.0003374,97.0157,203.0914,40.8132,319.3368,0,U,41773,999,54710,.27332968E-3,.11718E-3,0
SKYSAT-C3,2016-058E,2026-06-30T00:45:58.698432,15.53084147,.00013232,96.9001,211.3879,127.9832,232.1542,0,U,41774,999,54810,.39473269E-3,.24636E-3,0
ALSAT-1B,2016-059C,2026-06-30T19:59:15.423360,14.72283376,.0009176,97.7744,190.0074,173.0918,187.0418,0,U,41785,999,52258,.34436E-5,-.25E-6,0
PATHFINDER 1,2016-059E,2026-06-30T10:20:35.471904,14.67677808,.00288891,97.8168,180.1096,161.2255,199.0023,0,U,41787,999,52165,.11372397E-3,.604E-5,0
SCATSAT 1,2016-059H,2026-06-30T14:29:43.672416,14.79555315,.0054136,98.1187,245.5084,203.5185,156.3550,0,U,41790,999,10357,.17466E-3,.1282E-4,0
GOKTURK 1A,2016-073A,2026-06-30T20:35:39.153984,14.62783205,.0001417,98.1242,76.3182,78.4623,281.6738,0,U,41875,999,51082,.42033E-4,.168E-5,0
RESOURCESAT-2A,2016-074A,2026-06-30T20:46:38.165664,14.21604242,.000311,98.7531,255.2580,57.2449,302.9027,0,U,41877,999,49624,-.43296E-4,-.139E-5,0
CARTOSAT-2D,2017-008A,2026-06-30T20:35:40.377408,15.19303742,.0005036,97.4101,240.9087,179.6182,180.5058,0,U,41948,999,51965,.10683E-3,.2188E-4,0
SENTINEL-2B,2017-013A,2026-06-30T20:15:08.163936,14.30819528,.0001214,98.5696,256.4254,89.8195,270.3127,0,U,42063,999,48659,-.48331E-4,-.17E-5,0
CARTOSAT-2E,2017-036C,2026-06-30T19:26:26.198880,15.19267694,.0002265,97.4271,241.3875,248.1975,111.9019,0,U,42767,999,50021,.16914E-3,.3499E-4,0
FORMOSAT-5,2017-049A,2026-06-30T18:38:16.331424,14.50903575,.0012246,98.2253,256.7843,46.3964,313.8245,0,U,42920,999,46864,.49394E-4,.151E-5,0
SENTINEL-5P,2017-064A,2026-06-30T10:52:39.897984,14.19521106,.00010297,98.7927,123.4903,90.4349,269.6945,0,U,42969,999,45144,.44252324E-4,.49E-6,0
SKYSAT-C11,2017-068A,2026-06-30T09:57:11.874528,15.58573090,.00004601,97.4360,330.8281,142.6287,217.5001,0,U,42987,999,48530,.33325356E-3,.25436E-3,0
SKYSAT-C10,2017-068B,2026-06-30T07:58:31.045728,15.34853086,.00012399,97.4521,318.3095,107.6349,252.5030,0,U,42988,999,48437,.25698606E-3,.8604E-4,0
SKYSAT-C9,2017-068C,2026-06-30T08:23:42.625824,15.41880018,.00094599,97.4443,319.3885,91.7825,268.4506,0,U,42989,999,48478,.27976316E-3,.11811E-3,0
SKYSAT-C8,2017-068D,2026-06-30T08:22:02.480448,15.37226278,.00013225,97.4538,318.1764,94.7632,265.3763,0,U,42990,999,48433,.26547933E-3,.9597E-4,0
SKYSAT-C7,2017-068E,2026-06-30T19:09:36.691776,15.37188524,.0006794,97.4553,319.6226,67.1516,293.0445,0,U,42991,999,48446,.28444E-3,.10284E-3,0
SKYSAT-C6,2017-068F,2026-06-30T07:43:41.791872,15.34183874,.00052185,97.4585,319.0580,115.4010,244.7773,0,U,42992,999,48433,.26665078E-3,.8746E-4,0
CARTOSAT-2F,2018-004A,2026-06-30T20:12:56.039328,15.19167929,.0001408,97.4781,241.3441,166.8500,193.2771,0,U,43111,999,46940,.18989E-3,.3924E-4,0
GAOFEN-1 02,2018-031A,2026-06-30T20:28:02.999136,14.76451986,.0002452,98.0526,244.3408,353.6667,6.4511,0,U,43259,999,44471,.38271E-4,.215E-5,0
GAOFEN-1 03,2018-031B,2026-06-30T21:33:58.073184,14.76444816,.0003411,98.0512,244.2440,50.7488,309.4024,0,U,43260,999,44471,.11552E-3,.752E-5,0
GAOFEN-1 04,2018-031D,2026-06-30T20:59:05.894592,14.76452825,.0001864,98.0527,244.4120,63.1381,297.0019,0,U,43262,999,44470,.11198E-3,.727E-5,0
SENTINEL-3B,2018-039A,2026-06-30T15:42:41.517216,14.26738462,.0000815,98.6244,248.9934,113.9618,246.1648,0,U,43437,999,42604,.63993E-4,.111E-5,0
GAOFEN-5 01,2018-043A,2026-06-30T11:43:43.199616,14.60614488,.00027833,98.4578,153.3547,59.6365,300.5110,0,U,43461,999,43363,.76568197E-4,.323E-5,0
GAOFEN-6,2018-048A,2026-06-30T21:30:22.167360,14.76365860,.0011844,98.0970,244.5632,121.7880,238.4485,0,U,43484,999,43541,-.12942E-4,-.142E-5,0
GAOFEN-11 01,2018-063A,2026-06-30T21:01:27.726240,15.55671837,.0002091,97.1291,248.7186,281.0530,79.0490,0,U,43585,999,44247,.17182E-3,.11709E-3,0
ICESAT-2,2018-070A,2026-06-30T18:35:26.291904,15.28263881,.000619,92.0094,294.6499,89.0152,271.1806,0,U,43613,999,43453,.34669E-3,.9549E-4,0
