OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UWE-3,2013-066AG,2026-08-10T19:38:20.722560,14.97332510,.00499044,97.8726,179.2842,136.0496,224.4711,0,U,39446,999,68575,.16046918E-3,.1847E-4,0
UNISAT-6,2014-033C,2026-08-10T22:11:58.545024,14.88467933,.00434993,97.7944,14.7037,247.1728,112.4892,0,U,40012,999,65430,.13875334E-3,.1253E-4,0
DUCHIFAT-1,2014-033M,2026-08-10T17:27:53.623872,15.79586377,.00059021,98.0380,290.1329,216.4147,143.6717,0,U,40021,999,66431,.82855103E-3,.152787E-2,0
QB50P1,2014-033R,2026-08-10T18:31:50.514816,15.19029052,.00097848,98.0975,237.7792,48.1111,312.0955,0,U,40025,999,66131,.2158882E-3,.4448E-4,0
LILACSAT-2,2015-049K,2026-08-10T22:26:55.004640,15.53210606,.0008054,97.4614,261.9116,64.4117,295.7968,0,U,40908,999,60424,.16920397E-3,.10542E-3,0
FOX-1A (AO-85),2015-058D,2026-08-10T21:06:23.967648,14.91260774,.01345734,64.7735,108.9803,35.8620,325.1433,0,U,40967,999,12172,.15715741E-3,.1683E-4,0
CAS-2T & KS-1Q,2016-066G,2026-08-10T19:31:08.174784,14.44802601,.03405999,98.3794,297.9248,323.9886,33.8780,0,U,41847,999,51268,.40521953E-4,.218E-5,0
RADFXSAT (FOX-1B),2017-073E,2026-08-10T13:40:33.004416,15.13410923,.01496837,97.4638,88.6768,140.2362,220.9957,0,U,43017,999,47361,.23479821E-3,.5462E-4,0
DIWATA-2B,2018-084H,2026-08-10T23:35:59.704224,15.00642583,.00109322,98.1217,61.6007,355.6342,4.4784,0,U,43678,999,42443,.89240365E-4,.1063E-4,0
ES'HAIL 2,2018-090A,2026-08-10T22:15:38.776896,1.00270875,.00024203,0.0154,92.0222,86.9983,140.0463,0,U,43700,999,2822,0,.129E-5,0
FOX-1CLIFF (AO-95),2018-099N,2026-08-10T15:43:10.638336,15.27779555,.00096446,97.4349,282.7289,146.7499,213.4348,0,U,43770,999,42153,.24412547E-3,.6557E-4,0
ITASAT,2018-099AE,2026-08-10T16:25:36.597504,15.19668045,.00132619,97.3994,273.1190,155.2529,204.9344,0,U,43786,999,42118,.18595266E-3,.3907E-4,0
JY1SAT (JO-97),2018-099AX,2026-08-10T17:48:17.440128,15.35311911,.00070341,97.4096,285.8169,83.4306,276.7738,0,U,43803,999,42199,.26284862E-3,.894E-4,0
UWE-4,2018-111E,2026-08-10T18:43:45.407424,15.49405710,.00097385,97.5831,153.8199,116.0968,244.1286,0,U,43880,999,41922,.36823339E-3,.20172E-3,0
