OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTELSAT 30 (IS-30),2014-062A,2026-08-11T13:19:46.231680,1.00267769,.00014565,0.0126,62.9267,326.9494,35.0211,0,U,40271,999,734,0,-.167E-5,0
DIRECTV 14,2014-078B,2026-08-11T15:01:14.001600,1.00271525,.00004988,0.0125,64.3112,306.3622,75.4742,0,U,40333,999,4259,0,-.142E-5,0
DIRECTV 15,2015-026A,2026-08-11T15:00:06.609600,1.00271095,.0000451,0.0242,87.9570,269.3594,84.9135,0,U,40663,999,4101,0,-.119E-5,0
SKY MEXICO-1,2015-026B,2026-08-11T13:24:23.288832,1.00270165,.00025505,0.0190,79.2446,81.8777,281.1851,0,U,40664,999,4100,0,-.25E-5,0
INTELSAT 34 (IS-34),2015-039A,2026-08-11T18:38:53.443680,1.00267305,.00002422,0.0209,79.1682,276.2163,189.0912,0,U,40874,999,4019,0,0,0
INTELSAT 31 (IS-31),2016-035A,2026-08-11T12:34:52.959648,1.00269287,.00015374,0.0416,256.5030,61.7638,95.3705,0,U,41581,999,3723,0,-.167E-5,0
INTELSAT 36 (IS-36),2016-053A,2026-08-11T23:30:32.819328,1.00270439,.0002613,0.0104,46.5967,300.4559,34.5051,0,U,41747,999,3651,0,-.41E-6,0
INTELSAT 32E (IS-32E),2017-007B,2026-08-11T22:31:18.915168,1.00266457,.00006338,0.0157,117.5971,278.3448,219.1107,0,U,41945,999,3478,0,0,0
INTELSAT 35E (IS-35E),2017-041A,2026-08-11T18:44:52.869408,1.00270493,.00018562,0.0156,85.4485,65.4811,56.0176,0,U,42818,999,3337,0,-.255E-5,0
INTELSAT 37E (IS-37E),2017-059A,2026-08-11T22:32:38.497344,1.00270363,.00030839,0.0035,173.7584,343.5041,123.2747,0,U,42950,999,3262,0,-.158E-5,0
AZERSPACE 2 (IS-38),2018-074A,2026-08-11T23:03:30.228192,1.00269825,.00013571,0.0276,100.5863,48.7432,202.0748,0,U,43632,999,2900,0,0,0
