OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SAUDISAT 1C (SO-50),2002-058C,2026-08-10T12:05:32.977824,14.83151495,.0073648,64.5534,320.9174,252.5030,106.8018,0,U,27607,999,27251,.75995E-4,.493E-5,0
SAUDISAT 2,2004-025F,2026-08-10T11:58:46.210080,14.56710401,.0025686,98.5542,223.8929,128.1814,232.1702,0,U,28371,999,17365,.35403E-4,.109E-5,0
SAUDISAT 3,2007-012B,2026-08-10T09:18:34.578144,14.71453593,.0015836,98.1489,172.8338,58.1490,302.1256,0,U,31118,999,3571,.25209E-4,.105E-5,0
PISAT,2016-059B,2026-08-10T11:57:51.707232,14.69073262,.0029855,97.8214,220.6276,34.6592,325.6552,0,U,41784,999,52771,.85501E-4,.458E-5,0
FLYING LAPTOP,2017-042G,2026-08-10T12:08:07.795392,15.01445102,.0017648,97.4907,16.0404,306.2207,53.7386,0,U,42831,999,49460,.1386E-3,.1737E-4,0
SALSAT,2020-068K,2026-08-10T11:43:02.720352,15.30498432,.0011389,97.8873,228.8939,109.2749,250.9724,0,U,46495,999,32366,.14795E-3,.4284E-4,0
